_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
761,1725,TR-04060,3,Thoroughbred Cres,Humberwood Blvd,West,Hullrick Dr,North,T11291,01,,LKN,Existing,Provincial,S0211291,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.6130527861348, 43.7220524456314]]}"
762,1726,TR-04061,38,Secretariat Dr,Humberwood Blvd,South,Arborwood Dr,East,T11290,01,,LKN,Existing,Provincial,S0211290,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.6183681040051, 43.7234821155174]]}"
763,1727,TR-04065,51,The Chimneystack Rd,Ian Macdonald Blvd,East,The Chimneystack Rd,South,T11939,07,,LCN,Existing,Provincial,S0811939,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5004718072142, 43.7762248491018]]}"
764,1728,TR-04067,180,Church St,Church St,North,Pine St,East,T4882,05,,RN1,Temporarily Removed,Provincial,S1104882,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5107533233178, 43.7081476332961]]}"
765,1729,TR-03983,70,Park Lawn Rd,Park Lawn Rd,West,Lake Shore Blvd W,North,T10129,03,,LK,Existing,Provincial,00TS3434,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4844730960424, 43.6244439388457]]}"
766,1730,TR-03986,,,Scarlett Rd,East,Richview Rd,North,T7099,02,,LCN,Existing,Provincial,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5123807394002, 43.6857691603098]]}"
767,1732,TR-04022,1300,Yonge St,Yonge St,West,Woodlawn Ave W,North,T9063,12,Yonge & St. Clair,DIG-FE,Existing,Provincial,DST0040A,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3925764678696, 43.6840912252975]]}"
768,1733,TR-04023,731,Queen St W,Queen St W,South,Tecumseth St,West,T6856,10,West Queen West,DIG-RE,Existing,Provincial,DST0031A,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.406782630493, 43.6465653178146]]}"
769,1734,TR-04024,665,Dupont St,Dupont St,South,Christie St,West,T1000,11,,DIG-RE,Existing,Provincial,DST0017A,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4217941816079, 43.6714915101378]]}"
770,1735,TR-04025,2398,Yonge St,Yonge St,West,Montgomery Ave,North,T9030,08,Uptown Yonge,DIG-RE,Existing,Provincial,DST0036A,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3991168164831, 43.7097459560153]]}"
771,1736,TR-04027,80,College St,College St,North,Elizabeth St,East,T829,11,,DIG-FE,Existing,Provincial,DST0013A,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3872188879557, 43.6606641113526]]}"
772,1738,TR-04030,725,Dundas St W,Bathurst St,East,Dundas St W,South,T126,10,,DIG-FE,Temporarily Removed,Provincial,DST0006A,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4057935157955, 43.6520900562845]]}"
773,1739,TR-04040,481,The East Mall,The East Mall,East,Keane Ave,North,T2212,02,,LKN,Existing,Provincial,S0302212,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5602833683648, 43.6491775540678]]}"
774,1740,TR-00518,263,Beechgrove Dr,Lawrence Ave E,North,Beechgrove Dr,East,1596,25,,I,Existing,Provincial,0TS10984,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.162137029671, 43.7739652524846]]}"
